tick,ctrlMel.r_roll,ctrlMel.r_pitch,ctrlMel.r_yaw,ctrlMel.cmd_thrust,ctrlMel.cmd_roll,ctrlMel.cmd_pitch,ctrlMel.cmd_yaw,ctrlMel.accelz
54394,0.305268704891205,0.025502929463983,0.230460166931152,52000,8032,-2368,3020,1.38241922855377
54396,0.284452140331268,0.031800903379917,0.224849596619606,52000,8187,-3588,2953,1.38369083404541
54398,0.251427352428436,0.040983490645886,0.222374349832535,52000,10068,-4061,2924,1.38315796852112
54400,0.215975105762482,0.046013671904802,0.221419095993042,52000,10877,-3761,2913,1.38555383682251
54402,0.189260900020599,0.061398852616549,0.218367427587509,52000,10538,-5104,2876,1.38732326030731
54404,0.169133856892586,0.08890625834465,0.219059273600578,52000,10166,-6906,2884,1.38678276538849
54406,0.152951061725616,0.10137926787138,0.218556553125381,52000,10095,-5652,2878,1.38846611976624
54408,0.141811892390251,0.089857660233975,0.215583339333534,52000,9714,-3062,2842,1.38988506793976
54410,0.136338427662849,0.073192149400711,0.213961958885193,52000,9257,-2214,2823,1.39025282859802
54412,0.130874410271645,0.066777251660824,0.207609340548515,52000,9272,-3139,2746,1.38935685157776
54414,0.127576753497124,0.065019726753235,0.197081282734871,52000,9121,-3570,2620,1.38994979858398
54416,0.133982315659523,0.069528311491013,0.189347326755524,52000,7928,-4318,2527,1.39055585861206
54418,0.155763506889343,0.075849302113056,0.186074465513229,52000,5954,-4626,2488,1.39171552658081
54420,0.188674032688141,0.071215830743313,0.182334885001183,52000,4057,-3470,2443,1.395228266716
54422,0.213418364524841,0.061008334159851,0.177630335092545,52000,4379,-2709,2386,1.39565432071686
54424,0.223923221230507,0.053693450987339,0.173439860343933,50259,7936,-2879,2356,1.39569246768951
54426,0.234392657876015,0.044996079057455,0.172731906175613,50259,7730,-2567,2347,1.39550840854645
54428,0.243321850895882,0.037486456334591,0.178670108318329,50259,7550,-2550,2419,1.39305019378662
54430,0.246202751994133,0.03608038276434,0.189222797751427,50259,8097,-3133,2546,1.39218854904175
54432,0.255807220935822,0.032538115978241,0.19498698413372,50259,7070,-2859,2616,1.39084780216217
54434,0.272579252719879,0.029766157269478,0.193448975682259,48918,7596,-2883,2610,1.39129996299744
54436,0.288366973400116,0.033084776252508,0.193290188908577,48918,7199,-3570,2610,1.3890928030014
54438,0.305925279855728,0.035489838570356,0.197279080748558,48918,6671,-3526,2658,1.38673293590546
54440,0.32599475979805,0.035123165696859,0.201092645525932,48918,5817,-3254,2705,1.38209867477417
54442,0.342350989580154,0.041717689484358,0.203064039349556,48918,5861,-4082,2728,1.37406122684479
54444,0.355511575937271,0.051837112754583,0.206468299031258,48918,5700,-4658,2771,1.36764943599701
54446,0.366174250841141,0.051246151328087,0.213246643543243,46909,7310,-3577,2865,1.36054575443268
54448,0.374817341566086,0.040565066039562,0.220164626836777,46909,7110,-2369,2949,1.35444045066834
54450,0.387957781553268,0.046541586518288,0.222247391939163,46909,6398,-4155,2974,1.34747302532196
